Time,Left,U
5598,14336,62.3043
5610,14368,61.9803
5622,14448,61.6797
5634,14480,61.4028
5646,14528,61.15
5658,14560,60.9216
5670,14592,60.718
5682,14624,60.5393
5694,14672,60.3859
5706,14704,60.2579
5718,14736,60.1554
5730,14768,60.0787
5742,14800,60.0278
5754,14800,60.0028
5766,14816,60.0037
5778,14848,60.0305
5790,14864,60.0832
5802,14880,60.1617
5814,14880,60.2659
5827,14896,60.4076
5839,14912,60.5649
5851,14896,60.7474
5863,14928,60.9548
5875,14896,61.1869
5887,14880,61.4434
5899,14880,61.7239
5911,14880,62.0281
5923,14880,62.3556
5935,14880,62.706
5947,14880,63.0787
5960,14880,63.5073
5972,14880,63.9252
5984,14912,64.3639
5996,14928,64.8229
6008,14928,65.3015
6020,14928,65.7992
6032,14928,66.3153
6044,14912,66.8491
6056,14896,67.4
6068,14896,67.9671
6080,14880,68.5499
6092,14832,69.1476
6104,14816,69.7592
6116,14800,70.3842
6128,14768,71.0216
6140,14752,71.6707
6152,14720,72.3305
6164,14672,73.0003
6176,14656,73.6791
6188,14624,74.3662
6200,14576,75.0605
6212,14560,75.7613
6224,14528,76.4675
6236,14496,77.1783
6248,14448,77.8928
6260,14400,78.61
6272,14384,79.329
6284,14352,80.0489
6296,14336,80.7687
6308,14288,81.4875
6320,14256,82.2044
6332,14224,82.9184
6344,14192,83.6287
6356,14128,84.3342
6368,14112,85.0341
6380,14064,85.7276
6392,14032,86.4135
6404,14000,87.0912
6416,13968,87.7597
6428,13920,88.4181
6440,13872,89.0656
6452,13824,89.7014
6464,13792,90.3246
6476,13776,90.9344
6488,13728,91.5301
6500,13696,92.1108
6512,13680,92.6758
6524,13664,93.2244
6536,13680,93.7559
6548,13648,94.2695
6560,13616,94.7646
6572,13600,95.2406
6584,13568,95.6969
6596,13536,96.1328
6608,13504,96.5478
6620,13504,96.9414
6632,13472,97.313
6644,13424,97.6621
6656,13424,97.9884
6668,13392,98.2914
6680,13376,98.5707
6692,13376,98.8259
6704,13344,99.0567
6716,13328,99.2628
6729,13296,99.4579
6741,13264,99.6118
6753,13232,99.7402
6765,13200,99.8431
6777,13152,99.9202
6789,13120,99.9715
6801,13072,99.997
6813,13040,99.9965
6825,13008,99.9701
6837,12976,99.9179
6849,12944,99.8398
6861,12896,99.736
6873,12864,99.6067
6885,12864,99.4519
6897,12848,99.272
6909,12832,99.067
6921,12832,98.8374
6933,12816,98.5833
6945,12816,98.3052
6957,12800,98.0033
6969,12800,97.6781
6981,12784,97.33
6993,12816,96.9594
7005,12768,96.5669
7017,12784,96.1529
7029,12752,95.718
7041,12752,95.2627
7056,12752,94.6658
7068,12752,94.1669
7080,12816,93.6496
7092,12816,93.1146
7104,12816,92.5626
7116,12832,91.9944
7128,12832,91.4106
7140,12848,90.812
7152,12848,90.1994
7164,12864,89.5736
7176,12880,88.9353
7188,12880,88.2855
7200,12912,87.625
7212,12928,86.9546
7224,12960,86.2752
7236,13008,85.5876
7249,13040,84.8346
7261,14432,84.133
7273,13728,83.426
7285,13520,82.7146
7297,13376,81.9996
7309,13392,81.2821
7321,13456,80.5629
7333,13392,79.843
7345,13360,79.1233
7357,13376,78.4047
7369,13392,77.6881
7381,13408,76.9746
7393,13424,76.265
7405,13456,75.5603
7417,13472,74.8613
7429,13488,74.1689
7441,13488,73.4841
7453,13504,72.8078
7465,13504,72.1407
7477,13520,71.4839
7489,13536,70.8381
7501,13536,70.2042
7513,13696,69.5829
7525,13680,68.9752
7537,13728,68.3817
7549,13776,67.8033
7561,13824,67.2407
7573,13888,66.6947
7585,13952,66.1658
7597,14032,65.6549
7609,14096,65.1626
7621,14144,64.6896
7633,14208,64.2363
7645,14288,63.8035
7657,14320,63.3917
7669,14384,63.0014
7681,14416,62.6331
7693,14448,62.2874
7705,14496,61.9646
7717,14528,61.6651
7729,14560,61.3894
7741,14592,61.1379
7753,14640,60.9108
7765,14656,60.7084
7777,14704,60.531
7789,14736,60.3788
7801,14768,60.2521
7813,14784,60.151
7825,14800,60.0755
7837,14816,60.0259
7849,14848,60.0022
7861,14864,60.0044
7873,14864,60.0325
7885,14880,60.0865
7897,14896,60.1663
7909,14912,60.2718
7921,14928,60.4029
7933,14928,60.5593
7945,14928,60.741
7957,14928,60.9476
7970,14912,61.1992
7982,14912,61.4569
7994,14912,61.7387
8006,14912,62.0441
8018,14912,62.3727
8030,14912,62.7242
8042,14912,63.0981
8054,14912,63.4939
8066,14960,63.9111
8078,14976,64.3491
8090,14976,64.8074
8102,14976,65.2854
8114,14960,65.7825
8126,14928,66.298
8138,14896,66.8312
8150,14864,67.3816
8162,14784,67.9482
8174,14752,68.5305
8186,14752,69.1276
8198,14736,69.7389
8210,14720,70.3634
8222,14688,71.0004
8234,14672,71.6491
8246,14656,72.3086
8258,14640,72.9781
8270,14624,73.6567
8282,14576,74.3434
8294,14544,75.0376
8306,14528,75.7381
8318,14512,76.4442
8330,14464,77.1549
8342,14432,77.8692
